type,word,pos
상담사명,장위,NNG
상담사명,코리아,NNG
상담사명,김명선,NNG
상담사명,읍면,NNG
상담사명,영등포,NNG
상담사명,서초,NNG
상담사명,개포동,NNG
상담사명,일원동,NNG
상담사명,논현동,NNG
상담사명,대치동,NNG
상담사명,도곡동,NNG
상담사명,삼성동,NNG
상담사명,세곡동,NNG
상담사명,자곡동,NNG
상담사명,율현동,NNG
상담사명,수서동,NNG
상담사명,신사동,NNG
상담사명,압구정동,NNG
상담사명,역삼동,NNG
상담사명,청담동,NNG
상담사명,상일동,NNG
상담사명,강일동,NNG
상담사명,고덕동,NNG
상담사명,길동,NNG
상담사명,둔촌동,NNG
상담사명,명일동,NNG
상담사명,성내동,NNG
상담사명,암사동,NNG
상담사명,천호동,NNG
상담사명,미아동,NNG
상담사명,번동,NNG
상담사명,수유동,NNG
상담사명,우이동,NNG
상담사명,가양동,NNG
상담사명,마곡동,NNG
상담사명,염창동,NNG
상담사명,공항동,NNG
상담사명,과해동,NNG
상담사명,오곡동,NNG
상담사명,오쇠동,NNG
상담사명,등촌동,NNG
상담사명,내발산동,NNG
상담사명,외발산동,NNG
상담사명,방화동,NNG
상담사명,개화동,NNG
상담사명,화곡동,NNG
상담사명,봉천동,NNG
상담사명,신림동,NNG
상담사명,남현동,NNG
상담사명,광장동,NNG
상담사명,구의동,NNG
상담사명,군자동,NNG
상담사명,능동,NNG
상담사명,자양동,NNG
상담사명,중곡동,NNG
상담사명,화양동,NNG
상담사명,가리봉동,NNG
상담사명,개봉동,NNG
상담사명,고척동,NNG
상담사명,구로동,NNG
상담사명,궁동,NNG
상담사명,온수동,NNG
상담사명,신도림동,NNG
상담사명,오류동,NNG
상담사명,천왕동,NNG
상담사명,항동,NNG
상담사명,가산동,NNG
상담사명,공릉동,NNG
상담사명,상계동,NNG
상담사명,월계동,NNG
상담사명,중계동,NNG
상담사명,하계동,NNG
상담사명,도봉동,NNG
상담사명,방학동,NNG
상담사명,쌍문동,NNG
상담사명,창동,NNG
상담사명,답십리동,NNG
상담사명,신설동,NNG
상담사명,용두동,NNG
상담사명,이문동,NNG
상담사명,장안동,NNG
상담사명,전농동,NNG
상담사명,제기동,NNG
상담사명,청량리동,NNG
상담사명,회기동,NNG
상담사명,휘경동,NNG
상담사명,노량진동,NNG
상담사명,본동,NNG
상담사명,대방동,NNG
상담사명,사당동,NNG
상담사명,동작동,NNG
상담사명,상도동,NNG
상담사명,상도1동,NNG
상담사명,신대방동,NNG
상담사명,흑석동,NNG
상담사명,아현동,NNG
상담사명,공덕동,NNG
상담사명,신공덕동,NNG
상담사명,도화동,NNG
상담사명,대흥동,NNG
상담사명,노고산동,NNG
상담사명,신수동,NNG
상담사명,마포동,NNG
상담사명,망원동,NNG
상담사명,상암동,NNG
상담사명,창전동,NNG
상담사명,상수동,NNG
상담사명,하중동,NNG
상담사명,신정동,NNG
상담사명,당인동,NNG
상담사명,서교동,NNG
상담사명,동교동,NNG
상담사명,성산동,NNG
상담사명,중동,NNG
상담사명,현석동,NNG
상담사명,구수동,NNG
상담사명,염리동,NNG
상담사명,연남동,NNG
상담사명,용강동,NNG
상담사명,토정동,NNG
상담사명,합정동,NNG
상담사명,남가좌동,NNG
상담사명,북가좌동,NNG
상담사명,북아현동,NNG
상담사명,대현동,NNG
상담사명,대신동,NNG
상담사명,신촌동,NNG
상담사명,봉원동,NNG
상담사명,창천동,NNG
상담사명,연희동,NNG
상담사명,냉천동,NNG
상담사명,천연동,NNG
상담사명,옥천동,NNG
상담사명,영천동,NNG
상담사명,현저동,NNG
상담사명,충정로2가,NNG
상담사명,충정로3가,NNG
상담사명,합동,NNG
상담사명,미근동,NNG
상담사명,홍은동,NNG
상담사명,홍제동,NNG
상담사명,내곡동,NNG
상담사명,염곡동,NNG
상담사명,신원동,NNG
상담사명,반포동,NNG
상담사명,잠원동,NNG
상담사명,방배동,NNG
상담사명,서초동,NNG
상담사명,양재동,NNG
상담사명,우면동,NNG
상담사명,원지동,NNG
상담사명,금호동1가,NNG
상담사명,금호동2가,NNG
상담사명,금호동3가,NNG
상담사명,금호동4가,NNG
상담사명,마장동,NNG
상담사명,사근동,NNG
상담사명,행당동,NNG
상담사명,성수동1가,NNG
상담사명,성수동2가,NNG
상담사명,송정동,NNG
상담사명,옥수동,NNG
상담사명,상왕십리동,NNG
상담사명,하왕십리동,NNG
상담사명,홍익동,NNG
상담사명,도선동,NNG
상담사명,용답동,NNG
상담사명,응봉동,NNG
상담사명,길음동,NNG
상담사명,하월곡동,NNG
상담사명,돈암동,NNG
상담사명,동소문동6가,NNG
상담사명,동소문동7가,NNG
상담사명,동선동1가,NNG
상담사명,동선동2가,NNG
상담사명,동선동3가,NNG
상담사명,동선동4가,NNG
상담사명,동선동5가,NNG
상담사명,보문동4가,NNG
상담사명,보문동5가,NNG
상담사명,보문동6가,NNG
상담사명,보문동7가,NNG
상담사명,보문동1가,NNG
상담사명,보문동2가,NNG
상담사명,보문동3가,NNG
상담사명,동소문동2가,NNG
상담사명,동소문동3가,NNG
상담사명,동소문동5가,NNG
상담사명,삼선동1가,NNG
상담사명,삼선동2가,NNG
상담사명,삼선동3가,NNG
상담사명,삼선동4가,NNG
상담사명,삼선동5가,NNG
상담사명,석관동,NNG
상담사명,성북동,NNG
상담사명,성북동1가,NNG
상담사명,동소문동1가,NNG
상담사명,동소문동4가,NNG
상담사명,안암동1가,NNG
상담사명,안암동2가,NNG
상담사명,안암동3가,NNG
상담사명,안암동4가,NNG
상담사명,안암동5가,NNG
상담사명,상월곡동,NNG
상담사명,장위동,NNG
상담사명,정릉동,NNG
상담사명,종암동,NNG
상담사명,가락동,NNG
상담사명,거여동,NNG
상담사명,마천동,NNG
상담사명,문정동,NNG
상담사명,장지동,NNG
상담사명,방이동,NNG
상담사명,삼전동,NNG
상담사명,석촌동,NNG
상담사명,송파동,NNG
상담사명,오금동,NNG
상담사명,잠실동,NNG
상담사명,신천동,NNG
상담사명,풍납동,NNG
상담사명,목동,NNG
상담사명,신월동,NNG
상담사명,당산동1가,NNG
상담사명,당산동2가,NNG
상담사명,당산동3가,NNG
상담사명,당산동4가,NNG
상담사명,당산동5가,NNG
상담사명,당산동6가,NNG
상담사명,당산동,NNG
상담사명,대림동,NNG
상담사명,도림동,NNG
상담사명,문래동1가,NNG
상담사명,문래동2가,NNG
상담사명,문래동3가,NNG
상담사명,문래동4가,NNG
상담사명,문래동5가,NNG
상담사명,문래동6가,NNG
상담사명,신길동,NNG
상담사명,양평동1가,NNG
상담사명,양평동2가,NNG
상담사명,양평동3가,NNG
상담사명,양평동4가,NNG
상담사명,양평동5가,NNG
상담사명,양평동6가,NNG
상담사명,양화동,NNG
상담사명,양평동,NNG
상담사명,여의도동,NNG
상담사명,영등포동,NNG
상담사명,영등포동1가,NNG
상담사명,영등포동2가,NNG
상담사명,영등포동3가,NNG
상담사명,영등포동4가,NNG
상담사명,영등포동5가,NNG
상담사명,영등포동6가,NNG
상담사명,영등포동7가,NNG
상담사명,영등포동8가,NNG
상담사명,갈월동,NNG
상담사명,남영동,NNG
상담사명,용산동1가,NNG
상담사명,동자동,NNG
상담사명,보광동,NNG
상담사명,동빙고동,NNG
상담사명,서빙고동,NNG
상담사명,주성동,NNG
상담사명,용산동6가,NNG
상담사명,도원동,NNG
상담사명,용문동,NNG
상담사명,용산동2가,NNG
상담사명,용산동4가,NNG
상담사명,원효로1가,NNG
상담사명,원효로2가,NNG
상담사명,문배동,NNG
상담사명,신계동,NNG
상담사명,신창동,NNG
상담사명,산천동,NNG
상담사명,청암동,NNG
상담사명,원효로3가,NNG
상담사명,원효로4가,NNG
상담사명,이촌동,NNG
상담사명,이태원동,NNG
상담사명,서계동,NNG
상담사명,청파동1가,NNG
상담사명,청파동2가,NNG
상담사명,청파동3가,NNG
상담사명,한강로1가,NNG
상담사명,한강로2가,NNG
상담사명,용산동3가,NNG
상담사명,용산동5가,NNG
상담사명,한강로3가,NNG
상담사명,한남동,NNG
상담사명,효창동,NNG
상담사명,후암동,NNG
상담사명,갈현동,NNG
상담사명,구산동,NNG
상담사명,녹번동,NNG
상담사명,대조동,NNG
상담사명,불광동,NNG
상담사명,수색동,NNG
상담사명,역촌동,NNG
상담사명,응암동,NNG
상담사명,증산동,NNG
상담사명,진관동,NNG
상담사명,가회동,NNG
상담사명,재동,NNG
상담사명,계동,NNG
상담사명,원서동,NNG
상담사명,교남동,NNG
상담사명,평동,NNG
상담사명,송월동,NNG
상담사명,홍파동,NNG
상담사명,교북동,NNG
상담사명,행촌동,NNG
상담사명,명륜3가,NNG
상담사명,무악동,NNG
상담사명,부암동,NNG
상담사명,홍지동,NNG
상담사명,신영동,NNG
상담사명,통의동,NNG
상담사명,적선동,NNG
상담사명,체부동,NNG
상담사명,필운동,NNG
상담사명,내자동,NNG
상담사명,사직동,NNG
상담사명,도렴동,NNG
상담사명,당주동,NNG
상담사명,내수동,NNG
상담사명,세종로,NNG
상담사명,신문로1가,NNG
상담사명,신문로2가,NNG
상담사명,팔판동,NNG
상담사명,삼청동,NNG
상담사명,안국동,NNG
상담사명,소격동,NNG
상담사명,화동,NNG
상담사명,사간동,NNG
상담사명,송현동,NNG
상담사명,숭인동,NNG
상담사명,이화동,NNG
상담사명,연건동,NNG
상담사명,동숭동,NNG
상담사명,청진동,NNG
상담사명,서린동,NNG
상담사명,수송동,NNG
상담사명,중학동,NNG
상담사명,종로1가,NNG
상담사명,공평동,NNG
상담사명,관훈동,NNG
상담사명,견지동,NNG
상담사명,와룡동,NNG
상담사명,권농동,NNG
상담사명,운니동,NNG
상담사명,익선동,NNG
상담사명,경운동,NNG
상담사명,관철동,NNG
상담사명,인사동,NNG
상담사명,낙원동,NNG
상담사명,종로2가,NNG
상담사명,훈정동,NNG
상담사명,묘동,NNG
